# imt log
s logheadsize 000233
s logcolumns 6
s logname /home/testac/lgames/fitts/20180709_Mon/run1.135332.dat
s logversion 2.0
s logdate "Mon Jul 9 13:53:32 EDT 2018"
s logidate 1531158812

# begin user data

# end user data

#####
1266.000000 0.214068 0.116776 -0.000000 0.000000 0.000000
1267.000000 0.214068 0.116776 -0.000000 0.000000 0.000000
1268.000000 0.214068 0.116776 -0.000000 0.000000 0.000000
1269.000000 0.214068 0.116776 -0.000000 0.000000 0.000000
1270.000000 0.214068 0.116776 -0.000000 0.000000 0.000000
1271.000000 0.214068 0.116776 -0.000000 0.000000 0.000000
1272.000000 0.214068 0.116776 -0.000000 0.000000 0.000000
1273.000000 0.214068 0.116776 -0.000000 0.000000 4.000000
1274.000000 0.214068 0.116776 -0.000000 0.000000 4.000000
1275.000000 0.214068 0.116776 -0.000000 0.000000 4.000000
1276.000000 0.214068 0.116776 -0.000000 0.000000 4.000000
1277.000000 0.214068 0.116776 -0.000000 0.000000 4.000000
1278.000000 0.214068 0.116776 -0.000000 0.000000 4.000000
1279.000000 0.214068 0.116776 -0.000000 0.000000 4.000000
1280.000000 0.214068 0.116776 -0.000000 0.000000 4.000000
1281.000000 0.214068 0.116776 -0.000000 0.000000 4.000000
1282.000000 0.214068 0.116776 -0.000000 0.000000 4.000000
1283.000000 0.214068 0.116776 -0.000000 0.000000 4.000000
1284.000000 0.214068 0.116776 -0.000000 0.000000 4.000000
1285.000000 0.214068 0.116776 -0.000000 0.000000 4.000000
1286.000000 0.214068 0.116776 -0.000000 0.000000 4.000000
1287.000000 0.214068 0.116776 -0.000000 0.000000 4.000000
1288.000000 0.214068 0.116776 -0.000000 0.000000 4.000000
1289.000000 0.214068 0.116776 -0.000000 0.000000 4.000000
1290.000000 0.214068 0.116776 -0.000000 0.000000 4.000000
1291.000000 0.214068 0.116776 -0.000000 0.000000 4.000000
1292.000000 0.214068 0.116776 -0.000000 0.000000 4.000000
1293.000000 0.214068 0.116776 -0.000000 0.000000 4.000000
1294.000000 0.214068 0.116776 -0.000000 0.000000 4.000000
1295.000000 0.214068 0.116776 -0.000000 0.000000 4.000000
1296.000000 0.214068 0.116776 -0.000000 0.000000 4.000000
1297.000000 0.214068 0.116776 -0.000000 0.000000 4.000000
1298.000000 0.214068 0.116776 -0.000000 0.000000 4.000000
1299.000000 0.214068 0.116776 -0.000000 0.000000 4.000000
1300.000000 0.214068 0.116776 -0.000000 0.000000 4.000000
1301.000000 0.214068 0.116776 -0.000000 0.000000 4.000000
1302.000000 0.214068 0.116776 -0.000000 0.000000 4.000000
1303.000000 0.214068 0.116776 -0.000000 0.000000 4.000000
1304.000000 0.214068 0.116776 -0.000000 0.000000 4.000000
1305.000000 0.214068 0.116776 -0.000000 0.000000 4.000000
1306.000000 0.214068 0.116776 -0.000000 0.000000 4.000000
1307.000000 0.214068 0.116776 -0.000000 0.000000 4.000000
1308.000000 0.214068 0.116776 -0.000000 0.000000 4.000000
1309.000000 0.214068 0.116776 -0.000000 0.000000 4.000000
1310.000000 0.214068 0.116776 -0.000000 0.000000 4.000000
1311.000000 0.214068 0.116776 -0.000000 0.000000 4.000000
1312.000000 0.214068 0.116776 -0.000000 0.000000 4.000000
1313.000000 0.214068 0.116776 -0.000000 0.000000 4.000000
1314.000000 0.214068 0.116776 -0.000000 0.000000 4.000000
1315.000000 0.214068 0.116776 -0.000000 0.000000 4.000000
1316.000000 0.214068 0.116776 -0.000000 0.000000 4.000000
1317.000000 0.214068 0.116776 -0.000000 0.000000 4.000000
1318.000000 0.214068 0.116776 -0.000000 0.000000 4.000000
1319.000000 0.214068 0.116776 -0.000000 0.000000 4.000000
1320.000000 0.214068 0.116776 -0.000000 0.000000 4.000000
1321.000000 0.214068 0.116776 -0.000000 0.000000 4.000000
1322.000000 0.214068 0.116776 -0.000000 0.000000 4.000000
1323.000000 0.214068 0.116776 -0.000000 0.000000 4.000000
1324.000000 0.214068 0.116776 -0.000000 0.000000 4.000000
1325.000000 0.214068 0.116776 -0.000000 0.000000 4.000000
1326.000000 0.214068 0.116776 -0.000000 0.000000 4.000000
1327.000000 0.214068 0.116776 -0.000000 0.000000 4.000000
1328.000000 0.214068 0.116776 -0.000000 0.000000 4.000000
1329.000000 0.214068 0.116776 -0.000000 0.000000 4.000000
1330.000000 0.214068 0.116776 -0.000000 0.000000 4.000000
1331.000000 0.214068 0.116776 -0.000000 0.000000 4.000000
1332.000000 0.214068 0.116776 -0.000000 0.000000 4.000000
1333.000000 0.214068 0.116776 -0.000000 0.000000 4.000000
1334.000000 0.214068 0.116776 -0.000000 0.000000 4.000000
1335.000000 0.214068 0.116776 -0.000000 0.000000 4.000000
1336.000000 0.214068 0.116776 -0.000000 0.000000 4.000000
1337.000000 0.214068 0.116776 -0.000000 0.000000 4.000000
1338.000000 0.214068 0.116776 -0.000000 0.000000 4.000000
