2306.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2307.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2308.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2309.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2310.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2311.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2312.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2313.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2314.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2315.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2316.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2317.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2318.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2319.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2320.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2321.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2322.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2323.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2324.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2325.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2326.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2327.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2328.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2329.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2330.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2331.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2332.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2333.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2334.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2335.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2336.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2337.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2338.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2339.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2340.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2341.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2342.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2343.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2344.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2345.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2346.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2347.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2348.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2349.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2350.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2351.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2352.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2353.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2354.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2355.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2356.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2357.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2358.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2359.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2360.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2361.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2362.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2363.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2364.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2365.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2366.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2367.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2368.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2369.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2370.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2371.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2372.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2373.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2374.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2375.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2376.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2377.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2378.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2379.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2380.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2381.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2382.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2383.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2384.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2385.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2386.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2387.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2388.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2389.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2390.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2391.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2392.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2393.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2394.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2395.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2396.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2397.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2398.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2399.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2400.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2401.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2402.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2403.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2404.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2405.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2406.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2407.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2408.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2409.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2410.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2411.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2412.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2413.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2414.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2415.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2416.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2417.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2418.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2419.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2420.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2421.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2422.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2423.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2424.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2425.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2426.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2427.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2428.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2429.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2430.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2431.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2432.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2433.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2434.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2435.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2436.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2437.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2438.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2439.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2440.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2441.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2442.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2443.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2444.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2445.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2446.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2447.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2448.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2449.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2450.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2451.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2452.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2453.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2454.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2455.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2456.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2457.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2458.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2459.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2460.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2461.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2462.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2463.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2464.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2465.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2466.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2467.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2468.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2469.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2470.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2471.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2472.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2473.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2474.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2475.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2476.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2477.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2478.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2479.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2480.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2481.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2482.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2483.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2484.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2485.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2486.000000 -0.001836 0.003571 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000
2487.000000 -0.001876 0.003608 -0.001929 0.001809 -0.000000 -0.000000 0.000000 0.000000
2488.000000 -0.001876 0.003608 -0.002911 0.002731 -0.000000 -0.000000 0.000000 0.000000
2489.000000 -0.001876 0.003608 -0.001483 0.001391 -0.000000 -0.000000 0.000000 0.000000
2490.000000 -0.001954 0.003682 -0.004612 0.004328 -0.000000 -0.000000 0.000000 0.000000
2491.000000 -0.001954 0.003682 -0.006207 0.005824 -0.000000 -0.000000 0.000000 0.000000
2492.000000 -0.001967 0.003645 -0.003803 0.001167 -0.000000 -0.000000 0.000000 0.000000
2493.000000 -0.002020 0.003646 -0.005147 -0.001196 -0.000000 -0.000000 0.000000 0.000000
2494.000000 -0.002046 0.003719 -0.006478 0.003011 -0.000000 -0.000000 0.000000 0.000000
2495.000000 -0.002098 0.003719 -0.007156 0.005154 -0.000000 -0.000000 0.000000 0.000000
2496.000000 -0.002203 0.003720 -0.011351 0.002658 -0.000000 -0.000000 0.000000 0.000000
2497.000000 -0.002256 0.003720 -0.013488 0.001387 -0.000000 -0.000000 0.000000 0.000000
2498.000000 -0.002321 0.003683 -0.012651 -0.001071 -0.000000 -0.000000 0.000000 0.000000
2499.000000 -0.002413 0.003721 -0.014151 -0.000510 -0.000000 -0.000000 0.000000 0.000000
2500.000000 -0.002517 0.003721 -0.016841 0.001588 -0.000000 -0.000000 0.000000 0.000000
2501.000000 -0.002557 0.003611 -0.015648 -0.004565 -0.000000 -0.000000 0.000000 0.000000
2502.000000 -0.002675 0.003575 -0.015684 -0.009496 -0.000000 -0.000000 0.000000 0.000000
2503.000000 -0.002727 0.003575 -0.016342 -0.006598 -0.000000 -0.000000 0.000000 0.000000
2504.000000 -0.002845 0.003539 -0.016679 -0.005119 -0.000000 -0.000000 0.000000 0.000000
2505.000000 -0.002976 0.003466 -0.020712 -0.007946 -0.000000 -0.000000 0.000000 0.000000
2506.000000 -0.003094 0.003430 -0.022768 -0.009384 -0.000000 -0.000000 0.000000 0.000000
